n,f1-score,accuracy,recall,precision
857,0.97074010327,0.968313140727,0.992957746479,0.949494949495
1714,0.976460331299,0.974836905871,0.985915492958,0.967184801382
2571,0.975694444444,0.973904939422,0.989436619718,0.962328767123
3428,0.976542137272,0.974836905871,0.989436619718,0.96397941681
4285,0.977312390925,0.975768872321,0.985915492958,0.968858131488
5142,0.976460331299,0.974836905871,0.985915492958,0.967184801382
5999,0.976460331299,0.974836905871,0.985915492958,0.967184801382
6856,0.977312390925,0.975768872321,0.985915492958,0.968858131488
7713,0.977312390925,0.975768872321,0.985915492958,0.968858131488
8570,0.978165938865,0.97670083877,0.985915492958,0.970537261698
