n,f1-score,accuracy,recall,precision
857,0.969863013699,0.967933768657,0.997970230041,0.943295672564
1714,0.975107865914,0.973763992537,0.993910690122,0.957003257329
2571,0.974936513194,0.973530783582,0.995714930086,0.955007570841
3428,0.975491278428,0.97411380597,0.996391520072,0.95544982699
4285,0.976800976801,0.975629664179,0.992331980153,0.96174863388
5142,0.977535587189,0.976445895522,0.991204330176,0.964238701185
5999,0.976941071627,0.975862873134,0.988949030221,0.965221219459
6856,0.977179116108,0.97609608209,0.989851150203,0.964827434601
7713,0.977287909152,0.976212686567,0.989851150203,0.965039577836
8570,0.977138396342,0.97609608209,0.988046910239,0.966468122656
