n,f1-score,accuracy,recall,precision
857,0.827646544182,0.816402609506,0.843137254902,0.812714776632
1714,0.831441048035,0.820130475303,0.848484848485,0.815068493151
2571,0.867194371152,0.85927306617,0.878787878788,0.855902777778
3428,0.875444839858,0.869524697111,0.877005347594,0.873889875666
4285,0.880847308032,0.874184529357,0.889483065954,0.872377622378
5142,0.888692579505,0.8825722274,0.896613190731,0.880910683012
5999,0.886524822695,0.880708294501,0.891265597148,0.881834215168
6856,0.888691006233,0.883504193849,0.889483065954,0.887900355872
7713,0.890070921986,0.884436160298,0.894830659537,0.885361552028
8570,0.890459363958,0.884436160298,0.898395721925,0.882661996497
