n,f1-score,accuracy,recall,precision
857,0.86308530753,0.85645988806,0.87446472842,0.851998243303
1714,0.895052141114,0.889692164179,0.909172864548,0.881363338431
2571,0.91425389755,0.910214552239,0.925174667568,0.903587937486
3428,0.931601925445,0.928754664179,0.937795807978,0.925489323843
4285,0.944897731083,0.942513992537,0.952670723462,0.937250554324
5142,0.957389549226,0.955690298507,0.962136578769,0.95268913189
5999,0.968907845998,0.967700559701,0.972729321614,0.96511627907
6856,0.97851760207,0.977728544776,0.980392156863,0.976650202066
7713,0.988650410158,0.988222947761,0.991435654722,0.985880770955
8570,0.999324172111,0.999300373134,0.999774622493,0.998874127449
