n,f1-score,accuracy,recall,precision
857,0.957446808511,0.955265610438,0.971223021583,0.944055944056
1714,0.966192170819,0.96458527493,0.976618705036,0.955985915493
2571,0.975088967972,0.973904939422,0.985611510791,0.964788732394
3428,0.976991150442,0.975768872321,0.992805755396,0.961672473868
4285,0.975957257346,0.974836905871,0.985611510791,0.966490299824
5142,0.975784753363,0.974836905871,0.978417266187,0.973166368515
5999,0.980322003578,0.979496738117,0.985611510791,0.975088967972
6856,0.981300089047,0.980428704567,0.991007194245,0.971781305115
7713,0.979335130279,0.978564771668,0.980215827338,0.978456014363
8570,0.981064021641,0.980428704567,0.978417266187,0.983725135624
