n,f1-score,accuracy,recall,precision
857,0.95837023915,0.956156716418,0.971929036605,0.945184538109
1714,0.972990923179,0.971548507463,0.986975072985,0.95939751146
2571,0.975891567604,0.974696828358,0.986301369863,0.965699208443
3428,0.979709502162,0.978661380597,0.992140130249,0.967586508979
4285,0.98196794301,0.981110074627,0.990568156299,0.973515780181
5142,0.982899295853,0.982159514925,0.987424208399,0.978415665332
5999,0.984851860102,0.984141791045,0.992813833371,0.977016574586
6856,0.984024850233,0.983208955224,0.995957781271,0.972374479281
7713,0.987378532336,0.98682369403,0.992589265664,0.982222222222
8570,0.988003139365,0.987523320896,0.989445317763,0.986565158979
