n,f1-score,accuracy,recall,precision
857,0.973309608541,0.972041006524,0.992740471869,0.95462478185
1714,0.971781305115,0.970177073625,1.0,0.945111492281
2571,0.977698483497,0.97670083877,0.994555353902,0.961403508772
3428,0.967153284672,0.966449207829,0.961887477314,0.97247706422
4285,0.970695970696,0.970177073625,0.961887477314,0.97966728281
5142,0.975957257346,0.974836905871,0.994555353902,0.958041958042
5999,0.979147778785,0.978564771668,0.980036297641,0.978260869565
6856,0.982014388489,0.981360671016,0.990925589837,0.973262032086
7713,0.982110912343,0.981360671016,0.996370235935,0.968253968254
8570,0.980995475113,0.980428704567,0.983666061706,0.978339350181
