n,f1-score,accuracy,recall,precision
857,0.971453763915,0.969799440299,0.991005172026,0.952658884565
1714,0.969074418096,0.967000932836,0.997076680908,0.942602040816
2571,0.98030101815,0.979244402985,0.995952327412,0.965134016126
3428,0.978584310189,0.977845149254,0.976163705869,0.981016949153
4285,0.976691559176,0.975979477612,0.970541938385,0.98291960829
5142,0.983693843594,0.982859141791,0.997076680908,0.970665499124
5999,0.987324733595,0.98682369403,0.98965594783,0.985004476276
6856,0.987742366838,0.987173507463,0.99662693951,0.979014800088
7713,0.985780937569,0.985074626866,0.997751293007,0.974094401756
8570,0.989114577488,0.988689365672,0.991005172026,0.987231182796
