n,f1-score,accuracy,recall,precision
857,0.914285714286,0.913327120224,0.910091743119,0.918518518519
1714,0.921100917431,0.919850885368,0.921100917431,0.921100917431
2571,0.931860036832,0.931034482759,0.928440366972,0.935304990758
3428,0.936755270394,0.935694315005,0.937614678899,0.935897435897
4285,0.937153419593,0.936626281454,0.930275229358,0.944134078212
5142,0.939449541284,0.938490214352,0.939449541284,0.939449541284
5999,0.945420906568,0.945013979497,0.937614678899,0.953358208955
6856,0.951061865189,0.950605778192,0.94495412844,0.957249070632
7713,0.944547134935,0.944082013048,0.937614678899,0.951582867784
8570,0.940850277264,0.940354147251,0.933944954128,0.947858472998
