n,f1-score,accuracy,recall,precision
857,0.919343967648,0.916277985075,0.916461366181,0.922244759973
1714,0.937451220872,0.93458488806,0.941545352744,0.933392539964
2571,0.948262375684,0.946012126866,0.950279955207,0.946253345227
3428,0.954103852596,0.952075559701,0.956774916013,0.95144766147
4285,0.964022346369,0.962453358209,0.966181410974,0.961872909699
5142,0.975478669802,0.974463619403,0.975587905935,0.975369458128
5999,0.981212256766,0.980410447761,0.982530795073,0.979897252625
6856,0.987021705079,0.986473880597,0.98790593505,0.986139056562
7713,0.994514720699,0.994286380597,0.994848824188,0.99418084154
8570,0.99944040291,0.999416977612,1.0,0.998881431767
