n,f1-score,accuracy,recall,precision
857,0.965998256321,0.963653308481,0.985765124555,0.947008547009
1714,0.96768558952,0.965517241379,0.985765124555,0.95025728988
2571,0.967798085292,0.965517241379,0.989323843416,0.947189097104
3428,0.96768558952,0.965517241379,0.985765124555,0.95025728988
4285,0.967741935484,0.965517241379,0.987544483986,0.948717948718
5142,0.97027972028,0.968313140727,0.987544483986,0.953608247423
5999,0.968586387435,0.966449207829,0.987544483986,0.950342465753
6856,0.966898954704,0.96458527493,0.987544483986,0.947098976109
7713,0.966057441253,0.963653308481,0.987544483986,0.945485519591
8570,0.967741935484,0.965517241379,0.987544483986,0.948717948718
