n,f1-score,accuracy,recall,precision
857,0.97311225633,0.972014925373,0.986821177005,0.959779005525
1714,0.975033738192,0.97411380597,0.985003408316,0.965263861055
2571,0.977563383442,0.976679104478,0.990002272211,0.965433192998
3428,0.975769187423,0.974930037313,0.9836400818,0.968023255814
4285,0.977752808989,0.976912313433,0.988638945694,0.967103800845
5142,0.977137064985,0.976329291045,0.985685071575,0.968736042876
5999,0.97797752809,0.977145522388,0.98886616678,0.967326072461
6856,0.977787749607,0.976912313433,0.990229493297,0.965654775094
7713,0.977787749607,0.976912313433,0.990229493297,0.965654775094
8570,0.97741826761,0.9765625,0.988411724608,0.966666666667
